crop_name,scientific_name,category,season,growth_duration_days,major_indian_states
Rice,Oryza sativa,Cereal,Kharif/Rabi,120,"West Bengal, Punjab, Uttar Pradesh"
Wheat,Triticum aestivum,Cereal,Rabi,130,"Uttar Pradesh, Punjab, Haryana"
Maize,Zea mays,Cereal,Kharif/Rabi,100,"Karnataka, Madhya Pradesh, Maharashtra"
Barley,Hordeum vulgare,Cereal,Rabi,110,"Rajasthan, Uttar Pradesh, Haryana"
Sorghum,Sorghum bicolor,Cereal,Kharif/Rabi,110,"Maharashtra, Karnataka, Tamil Nadu"
Pearl Millet,Pennisetum glaucum,Cereal,Kharif,90,"Rajasthan, Uttar Pradesh, Gujarat"
Finger Millet,Eleusine coracana,Cereal,Kharif,120,"Karnataka, Tamil Nadu, Uttarakhand"
Foxtail Millet,Setaria italica,Cereal,Kharif,90,"Andhra Pradesh, Karnataka, Tamil Nadu"
Proso Millet,Panicum miliaceum,Cereal,Kharif,80,"Tamil Nadu, Karnataka, Andhra Pradesh"
Barnyard Millet,Echinochloa frumentacea,Cereal,Kharif,85,"Uttarakhand, Tamil Nadu, Karnataka"
Kodo Millet,Paspalum scrobiculatum,Cereal,Kharif,100,"Madhya Pradesh, Chhattisgarh, Tamil Nadu"
Little Millet,Panicum sumatrense,Cereal,Kharif,90,"Madhya Pradesh, Odisha, Tamil Nadu"
Oats,Avena sativa,Cereal,Rabi,120,"Punjab, Haryana, Uttar Pradesh"
Rye,Secale cereale,Cereal,Rabi,130,"Jammu & Kashmir, Himachal Pradesh"
Triticale,Triticosecale,Cereal,Rabi,130,"Himachal Pradesh, Jammu & Kashmir"
Spelt,Triticum spelta,Cereal,Rabi,140,"Himachal Pradesh, Uttarakhand"
Chickpea,Cicer arietinum,Pulse,Rabi,110,"Madhya Pradesh, Maharashtra, Rajasthan"
Pigeon Pea,Cajanus cajan,Pulse,Kharif,180,"Maharashtra, Karnataka, Madhya Pradesh"
Black Gram,Vigna mungo,Pulse,Kharif/Rabi,85,"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh"
Green Gram,Vigna radiata,Pulse,Kharif/Summer,75,"Rajasthan, Madhya Pradesh, Maharashtra"
